time_index,hash,area,percent,area_type
2022-04-07 08:02:25 UTC,#880e4f,46965.80516955414,7.78,occupied_to_24_02_2022
2022-04-07 08:02:25 UTC,#0f9d58,19568.55035380201,3.241,liberated
2022-04-07 15:39:11 UTC,#a52714,64306.78481699253,10.652,occupied_after_24_02_2022
2022-04-07 15:39:11 UTC,#bcaaa4,1263.4926104938595,0.209,unspecified
2022-04-07 15:39:11 UTC,#880e4f,46896.96902568259,7.768,occupied_to_24_02_2022
2022-04-07 15:39:11 UTC,#0f9d58,19541.073634681903,3.237,liberated
2022-04-07 15:41:15 UTC,#a52714,65577.19578869159,10.863,occupied_after_24_02_2022
2022-04-07 15:41:15 UTC,#bcaaa4,6844.836286373399,1.134,unspecified
2022-04-07 15:41:15 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-07 15:41:15 UTC,#0f9d58,19573.34522476364,3.242,liberated
2022-04-07 15:57:14 UTC,#a52714,65577.19578869159,10.863,occupied_after_24_02_2022
2022-04-07 15:57:14 UTC,#bcaaa4,6844.836286373399,1.134,unspecified
2022-04-07 15:57:14 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-07 15:57:14 UTC,#0f9d58,19573.34522476364,3.242,liberated
2022-04-07 19:10:58 UTC,#a52714,65577.19578869158,10.863,occupied_after_24_02_2022
2022-04-07 19:10:58 UTC,#bcaaa4,6844.836286373399,1.134,unspecified
2022-04-07 19:10:58 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-07 19:10:58 UTC,#0f9d58,19573.34522476364,3.242,liberated
2022-04-07 22:04:24 UTC,#bcaaa4,6281.142114914478,1.04,unspecified
2022-04-07 22:04:24 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-07 22:04:24 UTC,#a52714,66403.00206099305,10.999,occupied_after_24_02_2022
2022-04-07 22:04:24 UTC,#0f9d58,19564.94552696592,3.241,liberated
2022-04-08 20:54:22 UTC,#bcaaa4,6281.142114914478,1.04,unspecified
2022-04-08 20:54:22 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-08 20:54:22 UTC,#a52714,66403.00206099305,10.999,occupied_after_24_02_2022
2022-04-08 20:54:22 UTC,#0f9d58,19564.94552696592,3.241,liberated
2022-04-09 08:16:22 UTC,#bcaaa4,6281.142114914478,1.04,unspecified
2022-04-09 08:16:22 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-09 08:16:22 UTC,#a52714,66406.28865060354,11,occupied_after_24_02_2022
2022-04-09 08:16:22 UTC,#0f9d58,19552.038260151217,3.239,liberated
2022-04-09 15:52:44 UTC,#bcaaa4,6483.063388246472,1.074,unspecified
2022-04-09 15:52:44 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-09 15:52:44 UTC,#a52714,66199.98365613441,10.966,occupied_after_24_02_2022
2022-04-09 15:52:44 UTC,#0f9d58,19552.038260151217,3.239,liberated
2022-04-09 17:07:54 UTC,#bcaaa4,6483.063388246472,1.074,unspecified
2022-04-09 17:07:54 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-09 17:07:54 UTC,#a52714,66190.02736779825,10.964,occupied_after_24_02_2022
2022-04-09 17:07:54 UTC,#0f9d58,19552.038260151217,3.239,liberated
2022-04-09 17:18:49 UTC,#bcaaa4,6483.063388246472,1.074,unspecified
2022-04-09 17:18:49 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-09 17:18:49 UTC,#a52714,66190.02736779825,10.964,occupied_after_24_02_2022
2022-04-09 17:18:49 UTC,#0f9d58,19552.038260151217,3.239,liberated
2022-04-09 20:15:32 UTC,#bcaaa4,6483.063388246472,1.074,unspecified
2022-04-09 20:15:32 UTC,#880e4f,46889.19346851319,7.767,occupied_to_24_02_2022
2022-04-09 20:15:32 UTC,#a52714,66190.02736779825,10.964,occupied_after_24_02_2022
2022-04-09 20:15:32 UTC,#0f9d58,19552.038260151217,3.239,liberated
2022-04-10 09:10:05 UTC,#bcaaa4,6483.063388246472,1.074,unspecified
2022-04-10 09:10:05 UTC,#880e4f,46892.936752998554,7.768,occupied_to_24_02_2022
2022-04-10 09:10:05 UTC,#a52714,66223.7766356253,10.97,occupied_after_24_02_2022
2022-04-10 09:10:05 UTC,#0f9d58,19552.038260151217,3.239,liberated
2022-04-10 18:49:21 UTC,#bcaaa4,6483.063388246472,1.074,unspecified
2022-04-10 18:49:21 UTC,#880e4f,46892.936752998554,7.768,occupied_to_24_02_2022
2022-04-10 18:49:21 UTC,#a52714,66223.7766356253,10.97,occupied_after_24_02_2022
2022-04-10 18:49:21 UTC,#0f9d58,19552.038260151217,3.239,liberated
2022-04-11 21:34:33 UTC,#bcaaa4,6483.063388246472,1.074,unspecified
2022-04-11 21:34:33 UTC,#880e4f,46892.936752998554,7.768,occupied_to_24_02_2022
2022-04-11 21:34:33 UTC,#a52714,66223.7766356253,10.97,occupied_after_24_02_2022
2022-04-11 21:34:33 UTC,#0f9d58,19585.03402336185,3.244,liberated
2022-04-12 19:43:00 UTC,#bcaaa4,6327.209899123954,1.048,unspecified
2022-04-12 19:43:00 UTC,#880e4f,46892.936752998554,7.768,occupied_to_24_02_2022
2022-04-12 19:43:00 UTC,#a52714,66445.98937788892,11.006,occupied_after_24_02_2022
2022-04-12 19:43:00 UTC,#bdbdbd,6.12210263249497,0.001,other_territories
2022-04-12 19:43:00 UTC,#0f9d58,19646.837511995516,3.254,liberated
2022-04-14 20:58:23 UTC,#bcaaa4,6327.209899123954,1.048,unspecified
2022-04-14 20:58:23 UTC,#880e4f,46899.8461790146,7.769,occupied_to_24_02_2022
2022-04-14 20:58:23 UTC,#a52714,66434.68479176261,11.005,occupied_after_24_02_2022
2022-04-14 20:58:23 UTC,#bdbdbd,6.12210263249497,0.001,other_territories
2022-04-14 20:58:23 UTC,#0f9d58,19646.837511995516,3.254,liberated
2022-04-15 21:23:42 UTC,#bcaaa4,4283.434743128463,0.71,unspecified
2022-04-15 21:23:42 UTC,#880e4f,46901.75295345921,7.769,occupied_to_24_02_2022
2022-04-15 21:23:42 UTC,#a52714,68753.28822700611,11.389,occupied_after_24_02_2022
2022-04-15 21:23:42 UTC,#bdbdbd,6.12210263249497,0.001,other_territories
2022-04-15 21:23:42 UTC,#0f9d58,19652.614280637135,3.255,liberated
2022-04-16 14:25:21 UTC,#bcaaa4,4283.434743128463,0.71,unspecified
2022-04-16 14:25:21 UTC,#880e4f,46901.75295345921,7.769,occupied_to_24_02_2022
2022-04-16 14:25:21 UTC,#a52714,68682.23353653513,11.377,occupied_after_24_02_2022
2022-04-16 14:25:21 UTC,#bdbdbd,6.12210263249497,0.001,other_territories
2022-04-16 14:25:21 UTC,#0f9d58,19646.837511995516,3.254,liberated
2022-04-16 16:00:19 UTC,#a52714,71181.7812381547,11.791,occupied_after_24_02_2022
2022-04-16 16:00:19 UTC,#880e4f,46773.285609530816,7.748,occupied_to_24_02_2022
2022-04-16 16:00:19 UTC,#bcaaa4,3019.9421326346037,0.5,unspecified
2022-04-16 16:00:19 UTC,#bdbdbd,6.12210263249497,0.001,other_territories
2022-04-16 16:00:19 UTC,#0f9d58,19737.948138727683,3.269,liberated
2022-04-16 17:06:55 UTC,#a52714,71432.40483576953,11.832,occupied_after_24_02_2022
2022-04-16 17:06:55 UTC,#880e4f,46773.285609530816,7.748,occupied_to_24_02_2022
2022-04-16 17:06:55 UTC,#bcaaa4,3019.9421326346037,0.5,unspecified
2022-04-16 17:06:55 UTC,#bdbdbd,6.12210263249497,0.001,other_territories
2022-04-16 17:06:55 UTC,#0f9d58,19739.908172591036,3.27,liberated
2022-04-16 17:07:04 UTC,#a52714,71436.36261978708,11.833,occupied_after_24_02_2022
2022-04-16 17:07:04 UTC,#880e4f,46773.285609530816,7.748,occupied_to_24_02_2022
2022-04-16 17:07:04 UTC,#bcaaa4,3019.9421326346037,0.5,unspecified
2022-04-16 17:07:04 UTC,#bdbdbd,6.12210263249497,0.001,other_territories
2022-04-16 17:07:04 UTC,#0f9d58,19739.908172591036,3.27,liberated
2022-04-17 17:37:03 UTC,#a52714,71436.36261978708,11.833,occupied_after_24_02_2022
2022-04-17 17:37:03 UTC,#880e4f,46773.285609530816,7.748,occupied_to_24_02_2022
2022-04-17 17:37:03 UTC,#bcaaa4,3019.9421326346037,0.5,unspecified
2022-04-17 17:37:03 UTC,#bdbdbd,6.12210263249497,0.001,other_territories
2022-04-17 17:37:03 UTC,#0f9d58,19739.908172591036,3.27,liberated
2022-04-17 17:38:04 UTC,#a52714,71562.93644726243,11.854,occupied_after_24_02_2022
2022-04-17 17:38:04 UTC,#880e4f,46732.45035701406,7.741,occupied_to_24_02_2022
2022-04-17 17:38:04 UTC,#bcaaa4,3019.9421326346037,0.5,unspecified
2022-04-17 17:38:04 UTC,#bdbdbd,294.8236818216679,0.049,other_territories
2022-04-17 17:38:04 UTC,#0f9d58,19744.121201697195,3.271,liberated
2022-04-18 06:47:12 UTC,#a52714,71562.93650428443,11.854,occupied_after_24_02_2022
2022-04-18 06:47:12 UTC,#880e4f,46732.45035701406,7.741,occupied_to_24_02_2022
2022-04-18 06:47:12 UTC,#bcaaa4,3019.9421326346037,0.5,unspecified
2022-04-18 06:47:12 UTC,#bdbdbd,294.8236818216679,0.049,other_territories
2022-04-18 06:47:12 UTC,#0f9d58,19744.121201697195,3.271,liberated
2022-04-18 07:42:05 UTC,#a52714,71566.96985188415,11.855,occupied_after_24_02_2022
2022-04-18 07:42:05 UTC,#880e4f,46732.45035701406,7.741,occupied_to_24_02_2022
2022-04-18 07:42:05 UTC,#bcaaa4,3019.9421326346037,0.5,unspecified
2022-04-18 07:42:05 UTC,#bdbdbd,294.8236818216679,0.049,other_territories
2022-04-18 07:42:05 UTC,#0f9d58,19733.623051558225,3.269,liberated
2022-04-19 07:56:49 UTC,#a52714,71544.40816091563,11.851,occupied_after_24_02_2022
2022-04-19 07:56:49 UTC,#880e4f,46732.45035701406,7.741,occupied_to_24_02_2022
2022-04-19 07:56:49 UTC,#bcaaa4,3019.9421326346037,0.5,unspecified
2022-04-19 07:56:49 UTC,#bdbdbd,321.2524618187015,0.053,other_territories
2022-04-19 07:56:49 UTC,#0f9d58,19733.623051558225,3.269,liberated
2022-04-19 15:54:35 UTC,#a52714,72149.37950947492,11.951,occupied_after_24_02_2022
2022-04-19 15:54:35 UTC,#880e4f,46732.45035701406,7.741,occupied_to_24_02_2022
2022-04-19 15:54:35 UTC,#bcaaa4,2468.9095403064753,0.409,unspecified
2022-04-19 15:54:35 UTC,#bdbdbd,294.8236818216679,0.049,other_territories
2022-04-19 15:54:35 UTC,#0f9d58,19745.930107297343,3.271,liberated
2022-04-19 17:49:07 UTC,#0f9d58,19754.786071615377,3.272,liberated
2022-04-19 17:49:07 UTC,#a52714,72806.9350860815,12.06,occupied_after_24_02_2022
2022-04-19 17:49:07 UTC,#880e4f,46728.04508581107,7.74,occupied_to_24_02_2022
2022-04-19 17:49:07 UTC,#bcaaa4,2469.456574808098,0.409,unspecified
2022-04-19 17:49:07 UTC,#bdbdbd,969.1814407614922,0.161,other_territories
2022-04-19 19:44:23 UTC,#0f9d58,19754.786071615377,3.272,liberated
2022-04-19 19:44:23 UTC,#a52714,72814.36719688782,12.061,occupied_after_24_02_2022
2022-04-19 19:44:23 UTC,#880e4f,46728.04508581107,7.74,occupied_to_24_02_2022
2022-04-19 19:44:23 UTC,#bcaaa4,2469.456574808098,0.409,unspecified
2022-04-19 19:44:23 UTC,#bdbdbd,969.1814407614922,0.161,other_territories
2022-04-20 05:52:51 UTC,#0f9d58,19754.786071615377,3.272,liberated
